0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:31 -0300] "GET /PCRS/apps/bdl/disponibilidad.html?option=com_hotelguide&view=procesoReserva&destinos=Barcelona%20(spain)&destinosid=BBCN&hotel=&hotelid=&ini=10/10/2019&noches=1&fin=11/10/2019&hab=1&adul=1&nin=0&adul1=2&bebes1=0&nin1=0&nin_edad_1_1=0&nin_edad_1_2=0&nin_edad_1_3=0&nin_edad_1_4=0&adul2=2&bebes2=0&nin2=0&nin_edad_2_1=0&nin_edad_2_2=0&nin_edad_2_3=0&nin_edad_2_4=0&adul3=2&bebes3=0&nin3=0&nin_edad_3_1=0&nin_edad_3_2=0&nin_edad_3_3=0&nin_edad_3_4=0&adul4=2&bebes4=0&nin4=0&nin_edad_4_1=0&nin_edad_4_2=0&nin_edad_4_3=0&nin_edad_4_4=0&abZonaHidden=&abEstrellasHidden=&abEscalaHidden=&abRegimenHidden=&abTipoAlojamientoHidden=&abTipoHotelHidden=&abServiciosHidden=&researchSessionId=&Itemid=&&request_locale=en HTTP/1.1" 200 4266547
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:31 -0300] "GET /PCRS/static/crs/images/HR.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:55 -0300] "POST /PCRS/apps/bdl/datosPasajeros.html HTTP/1.1" 200 147835
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:56 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:56 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:56 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:30:56 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:31:03 -0300] "POST /PCRS/apps/bdl/preReserva.html HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:31:59 -0300] "POST /PCRS/apps/bdl/preReserva.html HTTP/1.1" 200 4997
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:32:53 -0300] "POST /PCRS/apps/bdl/pago.html HTTP/1.1" 500 6771
127.0.0.1 - - [24/Feb/2018:04:44:25 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:45:37 -0300] "POST /PCRS/apps/bdl/pago.html HTTP/1.1" 500 17697
127.0.0.1 - - [24/Feb/2018:04:51:04 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:20 -0300] "GET /PCRS/static/crs/images/ALBER.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:20 -0300] "GET /PCRS/static/crs/images/AT1.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:20 -0300] "GET /PCRS/static/crs/images/SUP.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:20 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:20 -0300] "GET /PCRS/static/crs/images/HR.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:21 -0300] "GET /PCRS/static/crs/images/ALBER.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:21 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:21 -0300] "GET /PCRS/static/crs/images/AT1.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:21 -0300] "GET /PCRS/static/crs/images/SUP.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:21 -0300] "GET /PCRS/static/crs/images/HR.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:21 -0300] "GET /PCRS/static/crs/images/joomla/bottomAjustaReserva.JPG HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:33 -0300] "POST /PCRS/apps/bdl/datosPasajeros.html HTTP/1.1" 200 200719
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:33 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:33 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:34 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
